name,image,muscles,equipment
Rickshaw Carry,https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_1.jpg,Forearms,Other
Single-Leg Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg,Quadriceps,Machine
Landmine twist,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg,Abdominals,Other
Weighted pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg,Lats,Other
T-Bar Row with Handle,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg,Middle Back,Other
Palms-down wrist curl over bench,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg,Forearms,Barbell
Atlas Stones,https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg,Lower Back,Other
Dumbbell front raise to lateral raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg,Shoulders,Dumbbell
Clean from Blocks,https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg,Quadriceps,Barbell
Incline Hammer Curls,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg,Biceps,Dumbbell
Straight-bar wrist roll-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m1-square-600x600.jpg,Forearms,
Barbell glute bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,Glutes,Barbell
Clean and press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg,Shoulders,Barbell
Triceps dip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,Triceps,Body Only
Dumbbell farmer's walk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,Forearms,Other
Palms-up wrist curl over bench,,Forearms,Barbell
Barbell Full Squat,,Quadriceps,Barbell
Barbell deficit deadlift,,Lower Back,Barbell
Barbell Deadlift,,Hamstrings,Barbell
Single-arm palm-in dumbbell shoulder press,,Shoulders,Dumbbell
Romanian Deadlift With Dumbbells,,Hamstrings,Dumbbell
Tire flip,,Quadriceps,Other
Clean Deadlift,,Hamstrings,Barbell
Elbow plank,,Abdominals,Body Only
Bottoms Up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,Abdominals,Body Only
Barbell back squat to box,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,Quadriceps,Barbell
Clean and jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,Shoulders,Barbell
Single-arm kettlebell push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,Shoulders,Kettlebells
Push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,Quadriceps,Barbell
Suspended ab fall-out,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-158s-suspended-ab-fall-out-m2-600x600.jpg,Abdominals,Other
Military press,,Shoulders,Barbell
Power snatch-,,Quadriceps,Barbell
Sumo deadlift,,Hamstrings,Barbell
Hang Clean,,Quadriceps,Barbell
Dumbbell V-Sit Cross Jab,,Abdominals,Dumbbell
Reverse Band Box Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/753/Male/m/753_2.jpg,Quadriceps,
Standing palms-in shoulder press,,Shoulders,Dumbbell
Standing cable low-to-high twist,,Abdominals,Cable
Decline EZ-bar skullcrusher,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47n-decline-ez-bar-skullcrusher-m1-square-600x600.jpg,Triceps,E-Z Curl Bar
Standing behind-the-back wrist curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14b-standing-behind-the-back-wrist-curl-m1-square-600x600.jpg,Forearms,Barbell
Seated finger curl,,Forearms,Barbell
Wide-grip barbell curl,,Biceps,Barbell
Dumbbell spell caster,,Abdominals,Dumbbell
Dumbbell floor press,,Triceps,Dumbbell
Lying Face Down Plate Neck Resistance,,Neck,Other
Pullups,,Lats,Body Only
Decline reverse crunch,,Abdominals,Other
Dumbbell Bench Press,,Chest,Dumbbell
Jumping rope,,Quadriceps,Body Only
Seated barbell shoulder press,,Shoulders,Barbell
EZ-bar spider curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18n-barbell-spider-curl-m1-square-600x600.jpg,Biceps,Barbell
Smith machine shrug,,Traps,Machine
Smith Machine Calf Raise,,Calves,Machine
Romanian Deadlift from Deficit,,Hamstrings,Barbell
Power Snatch,,Hamstrings,Barbell
Pushups,,Chest,Body Only
Barbell walking lunge,,Quadriceps,Barbell
Front Squats With Two Kettlebells,https://www.bodybuilding.com/exercises/exerciseImages/sequences/511/Male/m/511_1.jpg,Quadriceps,Kettlebells
Spider crawl,,Abdominals,Body Only
Power Clean from Blocks,,Hamstrings,Barbell
Single Leg Push-off,,Quadriceps,Other
Hip Circles (Prone),,Abductors,
Reverse-grip bent-over row,,Middle Back,Barbell
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,,Forearms,Cable
Back extension,,Lower Back,Body Only
Close-grip bench press,,Chest,Barbell
Cocoons,,Abdominals,Body Only
Cross-Body Crunch,,Abdominals,Body Only
Dumbbell Flyes,,Chest,Dumbbell
Hammer Curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-7d-hammer-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Dumbbell
Low-cable cross-over,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5c-low-cable-cross-over-m1-square-600x600.jpg,Chest,Cable
Single-arm high-cable side bend,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-107c-single-arm-high-cable-side-bend-m1-600x600.jpg,Abdominals,Cable
Seated Dumbbell Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
Standing dumbbell shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
Single Leg Push-off,https://www.bodybuilding.com/exercises/exerciseImages/sequences/818/Male/m/818_1.jpg,Quadriceps,Other
Hip Circles (Prone),https://www.bodybuilding.com/images/2020/may/874_1.jpg,Abductors,
Reverse-grip bent-over row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-02b-reverse-grip-bent-over-row-m1-square-600x600.jpg,Middle Back,Barbell
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/7/Male/m/7_1.jpg,Forearms,Cable
Back extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-16m-back-extension-m1-square-600x600.jpg,Lower Back,Body Only
Close-grip bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82e-close-grip-bench-press-m1-square-600x600.jpg,Chest,Barbell
Cocoons,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-170a-cocoon-crunch-m1-square-600x600.jpg,Abdominals,Body Only
Cross-Body Crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg,Abdominals,Body Only
Dumbbell Flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31e-dumbbell-chest-fly-m1-square-600x600.jpg,Chest,Dumbbell
Hammer Curls,,Biceps,Dumbbell
Incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3n-incline-dumbbell-bench-press-m2-square-600x600.jpg,Chest,Dumbbell
Seated Dumbbell Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
Standing dumbbell shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104d-standing-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
EZ-Bar Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-46s-standing-ez-bar-curl-m1-crop-600x600.jpg,Biceps,E-Z Curl Bar
Olympic Squat,,Quadriceps,Barbell
Natural Glute Ham Raise,,Hamstrings,Body Only
Axle Deadlift,,Lower Back,Other
Zottman Curl,,Biceps,
Glute ham raise-,,Hamstrings,None
Single-arm lateral raise,,Shoulders,Dumbbell
Power Partials,,Shoulders,Dumbbell
Leverage Shrug,https://www.bodybuilding.com/exercises/exerciseImages/sequences/898/Male/m/898_1.jpg,Traps,Machine
Cable V-bar push-down,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,Triceps,Cable
Wrist Roller,https://www.bodybuilding.com/exercises/exerciseImages/sequences/142/Male/m/142_1.jpg,Forearms,Other
Incline dumbbell reverse fly,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-13n-incline-dumbbell-reverse-fly-m1-crop-600x600.jpg,Shoulders,Dumbbell
Stair climber,,Quadriceps,Machine
Elbow-to-knee crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-176a-elbow-to-knee-crunch-m1-square-600x600.jpg,Abdominals,Body Only
Kettlebell Pistol Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/521/Male/m/521_2.jpg,Quadriceps,Kettlebells
Overhead dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17d-overhead-dumbbell-front-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Biceps curl to shoulder press,,Biceps,Dumbbell
Weighted bench dip,,Triceps,Body Only
Barbell Hip Thrust,,Glutes,Barbell
Forward lunge,,Quadriceps,Body Only
Barbell Bench Press - Medium Grip,,Chest,Barbell
Chest dip,,Chest,Other
Seated dumbbell shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50e-seated-dumbbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
Barbell Curl,,Biceps,Barbell
EZ-Bar Skullcrusher,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-94s-ez-bar-skullcrusher-m1-square-600x600.jpg,Triceps,E-Z Curl Bar
One-Arm Dumbbell Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13e-single-arm-bench-dumbbell-row-m1-square-600x600.jpg,Middle Back,Dumbbell
Alternating standing shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-93d-alternating-standing-shoulder-press-m1-square-600x600.jpg,Shoulders,Dumbbell
Concentration curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-8e-concentration-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Decline Crunch,,Abdominals,Body Only
Decline Dumbbell Flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31n-decline-dumbbell-chest-fly-m2-square-600x600.jpg,Chest,Dumbbell
Single-arm incline rear delt raise,,Shoulders,Dumbbell
Alternating dumbbell front raise,,Shoulders,Dumbbell
Hanging toes-to-bar,,Abdominals,Body Only
Narrow-stance squat,,Quadriceps,Barbell
Kneeling cable oblique crunch,,Abdominals,Cable
Reverse Grip Triceps Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m2-square-600x600.jpg,Triceps,Cable
Bear crawl sled drag,,Quadriceps,Other
Rocky Pull-Ups/Pulldowns,,Lats,Other
Snatch-Grip Behind-The-Neck Overhead Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4571/Male/m/4571_1.jpg,Shoulders,Barbell
Box Squat with Bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/666/Male/m/666_1.jpg,Quadriceps,Barbell
Flexor Incline Dumbbell Curls,https://www.bodybuilding.com/exercises/exerciseImages/sequences/285/Male/m/285_1.jpg,Biceps,Dumbbell
Seated One-Arm Dumbbell Palms-Up Wrist Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/386/Male/m/386_1.jpg,Forearms,Dumbbell
Thigh adductor,,Adductors,Machine
Machine Bicep Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/899/Male/m/899_2.jpg,Biceps,Machine
Seated Palms-Down Barbell Wrist Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/389/Male/m/389_1.jpg,Forearms,
Single-arm incline rear delt raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14n-single-arm-incline-rear-delt-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Alternating dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-14d-alternating-dumbbell-front-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Hanging toes-to-bar,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-128c-hanging-toes-to-bar-m1-600x600.jpg,Abdominals,Body Only
Narrow-stance squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30a-narrow-stance-squat-m1-square-600x600.jpg,Quadriceps,Barbell
Kneeling cable oblique crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-36c-kneeling-cable-oblique-crunch-m1-square-600x600.jpg,Abdominals,Cable
Reverse Grip Triceps Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19c-reverse-grip-cable-straight-bar-push-down-m1-square-600x600.jpg,Triceps,Cable
Bear crawl sled drag,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-153s-bear-crawl-sled-drag-m1-crop-600x600.jpg,Quadriceps,Other
Rocky Pull-Ups/Pulldowns,https://www.bodybuilding.com/exercises/exerciseImages/sequences/279/Male/m/279_1.jpg,Lats,Other
Snatch-Grip Behind-The-Neck Overhead Press,,Shoulders,Barbell
Box Squat with Bands,,Quadriceps,Barbell
Flexor Incline Dumbbell Curls,,Biceps,Dumbbell
Seated One-Arm Dumbbell Palms-Up Wrist Curl,,Forearms,Dumbbell
Machine Bicep Curl,,Biceps,Machine
Seated Palms-Down Barbell Wrist Curl,,Forearms,
Car driver,,Shoulders,Other
Alternating Deltoid Raise,,Shoulders,Dumbbell
Hanging Oblique Knee Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-120c-hanging-oblique-crunch-m1-600x600.jpg,Abdominals,Body Only
Bodyweight Flyes,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-182s-double-bar-roll-out-chest-fly-m1-600x600.jpg,Chest,E-Z Curl Bar
Standing Calf Raises,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,Calves,Machine
Push-Ups - Close Triceps Position,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-104a-close-push-up-m1-square-600x600.jpg,Triceps,Body Only
One-Arm Long Bar Row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,Middle Back,Barbell
Overhead cable curl,,Biceps,Cable
Single-dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18d-single-dumbbell-front-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Incline cable chest fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-10c-incline-cable-chest-fly-m1-square-600x600.jpg,Chest,Cable
Single-leg depth squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-68e-single-leg-depth-squat-m1-square-600x600.jpg,Quadriceps,Bands
Dumbbell suitcase crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,Abdominals,Medicine Ball
Plate Twist,https://www.bodybuilding.com/exercises/exerciseImages/sequences/106/Male/m/106_1.jpg,Abdominals,Other
Single-leg cable hip extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43c-single-leg-cable-hip-extension-m1-square-600x600.jpg,Glutes,Cable
Weighted Jump Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/887/Male/m/887_1.jpg,Quadriceps,Barbell
Squat with Chains,,Quadriceps,Barbell
Gorilla Chin/Crunch,,Abdominals,Body Only
Kneeling cable triceps extension,,Triceps,Cable
Kneeling Cable Crunch With Alternating Oblique Twists,,Abdominals,Cables
Bicycling,,Quadriceps,Other
Arnold press,,Shoulders,Dumbbell
Weighted Crunches,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50d-dumbbell-suitcase-crunch-m1-square-600x600.jpg,Abdominals,Other
Single-arm cable triceps extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-31c-single-arm-cable-triceps-extension-m1-square-600x600.jpg,Triceps,Cable
Barbell roll-out,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,Abdominals,Barbell
Kneeling cable crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,Abdominals,Cable
Exercise Ball Pull-In,,Abdominals,Exercise Ball
Hanging leg raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9m-hanging-leg-raise-m1-square-600x600.jpg,Abdominals,Body Only
Barbell Ab Rollout - On Knees,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48b-barbell-roll-out-m1-square-600x600.jpg,Abdominals,Barbell
Barbell Squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50b-barbell-back-squat-m1-square-600x600.jpg,Quadriceps,Barbell
Decline barbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34n-decline-barbell-bench-press-m1-square-600x600.jpg,Chest,Barbell
Dumbbell Bicep Curl,,Biceps,Dumbbell
Dumbbell Goblet Squat,,Quadriceps,Dumbbell
Dumbbell squat,,Quadriceps,Dumbbell
Barbell front squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51b-barbell-front-squat-m1-square-600x600.jpg,Quadriceps,Barbell
Close-grip pull-down,,Lats,Cable
Triceps Pushdown - Rope Attachment,,Triceps,Cables
Side-to-side box skip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-69e-side-to-side-box-skip-m1-square-600x600.jpg,Quadriceps,Body Only
Smith machine shoulder press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-alt-31t-smith-machine-shoulder-press-m1-square-600x600.jpg,Shoulders,Machine
Seated triceps press,,Triceps,Dumbbell
Dumbbell Lying Supination,,Forearms,
Pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-92c-pull-up-m1-square-600x600.jpg,Lats,Body Only
Wide-grip bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-84e-wide-grip-bench-press-m1-square-600x600.jpg,Chest,Barbell
Close-grip EZ-bar curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47s-close-grip-ez-bar-curl-m1-square-600x600.jpg,Biceps,Barbell
T-Bar Row,https://www.bodybuilding.com/images/2020/xdb/3381_1.jpg,Middle Back,Other
Bent Over Two-Arm Long Bar Row,https://www.bodybuilding.com/exercises/exerciseImages/sequences/18/Male/m/18_1.jpg,Middle Back,Barbell
Muscle Up,,Lats,Body Only
Machine shoulder press,,Shoulders,Machine
Incline EZ-bar skullcrusher,,Triceps,Barbell
Alternating sit-through with crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-124s-single-arm-landmine-bent-over-row-m1-square-600x600.jpg,Middle Back,Other
Wide-Grip Decline Barbell Bench Press,,Chest,Barbell
Rower,,Middle Back,Machine
Snatch Deadlift,,Hamstrings,Barbell
Front Plate Raise,,Shoulders,Other
Decline Close-Grip Bench To Skull Crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/288/Male/m/288_1.jpg,Triceps,Barbell
Lying Leg Curls,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20m-lying-leg-curl-m1-square-600x600.jpg,Hamstrings,Machine
Cross-body hammer curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4d-cross-body-hammer-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Shotgun row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-37c-shotgun-row-m1-square-600x600.jpg,Lats,Cable
Ab Roller,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-2s-ab-wheel-roll-out-m1-square-600x600.jpg,Abdominals,Other
Reverse-grip incline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4n-reverse-grip-incline-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Dumbbell
Leg Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44m-leg-press-m1-square-600x600.jpg,Quadriceps,Machine
Stiff-Legged Dumbbell Deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-9d-dumbbell-stiff-legged-deadlift-m1-square-600x600.jpg,Hamstrings,Dumbbell
Cable Crossover,,Chest,Cable
Barbell Incline Bench Press Medium-Grip,,Chest,Barbell
Incline Dumbbell Flyes,,Chest,Dumbbell
Seated Cable Rows,,Middle Back,Cable
Tricep Dumbbell Kickback,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76d-single-arm-triceps-kick-back-m2-square-600x600.jpg,Triceps,Dumbbell
Otis-Up,,Abdominals,Other
Mountain climber,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-201a-mountain-climber-m1-square-600x600.jpg,Abdominals,Body Only
Ab bicycle,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73a-ab-cycle-m2-square-600x600.jpg,Abdominals,Body Only
Barbell forward lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43b-barbell-forward-lunge-m1-square-600x600.jpg,Quadriceps,Barbell
3/4 sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-149a-34-sit-up-m1-square-600x600.jpg,Abdominals,Body Only
Exercise ball leg curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-21s-exercise-ball-leg-curl-m1-square-600x600.jpg,Hamstrings,Exercise Ball
Glute bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-59a-glute-bridge-m1-square-600x600.jpg,Glutes,Body Only
Close-Grip Front Lat Pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-73c-close-grip-pull-down-m1-square-600x600.jpg,Lats,Cable
Dip Machine,https://www.bodybuilding.com/exercises/exerciseImages/sequences/146/Male/m/146_1.jpg,Triceps,Cable
Incline dumbbell row,,Middle Back,Dumbbell
Dumbbell Lunges,,Quadriceps,Dumbbell
Single-arm standing shoulder press,,Shoulders,Dumbbell
Preacher Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-55s-ez-bar-preacher-curl-m1-square-600x600.jpg,Biceps,Barbell
Reverse crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-263a-reverse-crunch-m1-600x600.jpg,Abdominals,Body Only
Standing Dumbbell Triceps Extension,https://www.bodybuilding.com/images/2020/june/345_1.jpg,Triceps,Dumbbell
Elliptical trainer,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22m-elliptical-trainer-m1-square-600x600.jpg,Quadriceps,Machine
Bodyweight squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27a-bodyweight-squat-m1-square-600x600.jpg,Quadriceps,Body Only
Bent Over Two-Dumbbell Row With Palms In,https://www.bodybuilding.com/exercises/exerciseImages/sequences/17/Male/m/17_1.jpg,Middle Back,Dumbbell
Hex-bar deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-123s-hex-bar-deadlift-m1-square-600x600.jpg,Quadriceps,Other
Narrow-stance leg press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-46m-wide-stance-leg-press-m1-square-600x600.jpg,Quadriceps,Machine
Single-leg glute bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61a-single-leg-glute-bridge-m1-square-600x600.jpg,Glutes,Body Only
