name,image,muscles,equipment
Barbell Curls Lying Against An Incline,https://www.bodybuilding.com/exercises/exerciseImages/sequences/300/Male/m/300_1.jpg,Biceps,Barbell
Standing Hip Circles,https://www.bodybuilding.com/exercises/exerciseImages/sequences/873/Male/m/873_1.jpg,Abductors,Body Only
Clam,https://www.bodybuilding.com/images/2020/april/2843_1.jpg,Abductors,
Narrow Stance Hack Squats,,Quadriceps,Machine
Seated Close-Grip Concentration Barbell Curl,,Biceps,Barbell
Dumbbell Lying Pronation,,Forearms,
Smith machine box squat,,Quadriceps,Barbell
Drop Push,,Chest,Other
Upside-down pull-up,,Middle Back,Other
Reverse Barbell Preacher Curls,,Biceps,E-Z Curl Bar
Close-grip EZ-bar bench press,,Chest,E-Z Curl Bar
Incline Push-Up,,Chest,Body Only
Hyperextensions With No Hyperextension Bench,,Lower Back,Body Only
Dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13d-dumbbell-front-raise-m2-square-600x600.jpg,Shoulders,Dumbbell
Parallel Bar Dip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,Triceps,Body Only
Stairmaster,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-51m-stair-climber-m1-square-600x600.jpg,Quadriceps,Machine
Double Leg Butt Kick,https://www.bodybuilding.com/exercises/exerciseImages/sequences/778/Male/m/778_1.jpg,Quadriceps,
Groiners,,Adductors,Body Only
Neck Press,,Chest,Barbell
Broad jump,,Quadriceps,Body Only
Machine Squat,,Quadriceps,Machine
V-bar pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-140c-v-bar-pull-up-m1-crop-600x600.jpg,Lats,
Ring dip,,Triceps,Body Only
Standing One-Arm Cable Curl,,Biceps,Cable
Burpee,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-38a-burpee-m4-square-600x600.jpg,Quadriceps,Body Only
Double-arm triceps kick-back,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75d-double-arm-triceps-kick-back-m2-square-600x600.jpg,Triceps,Dumbbell
Dumbbell reverse lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83d-dumbbell-reverse-lunge-m1-square-600x600.jpg,Quadriceps,Dumbbell
Seated Calf Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13m-machine-seated-calf-raise-m1-square-600x600.jpg,Calves,Machine
Standing dumbbell shrug,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-115d-standing-dumbbell-shrug-m1-square-600x600.jpg,Traps,Dumbbell
Calf Press On The Leg Press Machine,,Calves,Machine
Barbell step-up,,Quadriceps,Barbell
Feet-elevated bench dip,,Triceps,Body Only
Bent Over Barbell Row,,Middle Back,Barbell
Crunches,,Abdominals,Body Only
Dumbbell Alternate Bicep Curl,,Biceps,Dumbbell
Bent-over dumbbell rear delt row,,Shoulders,Dumbbell
External Rotation with Cable,,Shoulders,Cables
Handstand push-up,,Shoulders,Body Only
Single-arm dumbbell preacher curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53s-single-arm-dumbbell-preacher-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Step-up with knee raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m1-square-600x600.jpg,Glutes,Body Only
Smith machine back squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18t-smith-machine-back-squat-m1-square-600x600.jpg,Quadriceps,Machine
Incline dumbbell front raise,,Shoulders,Dumbbell
Alternate Incline Dumbbell Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Standing dumbbell upright row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-125d-standing-dumbbell-upright-row-m1-square-600x600.jpg,Traps,Dumbbell
Single-arm cable front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42c-single-arm-cable-front-raise-m1-square-600x600.jpg,Shoulders,Cable
Two-Arm Kettlebell Military Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/530/Male/m/530_1.jpg,Shoulders,Kettlebells
Incline cable chest press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11c-incline-cable-chest-press-m1-square-600x600.jpg,Chest,Cable
Rope climb,,Lats,Body Only
Single-arm dumbbell preacher curl,,Biceps,Dumbbell
Step-up with knee raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70e-step-up-with-knee-raise-m2-square-600x600.jpg,Glutes,Body Only
Incline dumbbell front raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11n-incline-dumbbell-front-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Rope climb,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-155s-rope-climb-m1-square-600x600.jpg,Lats,Body Only
Trail Running/Walking,,Quadriceps,Body Only
Standing Bradford press,,Shoulders,Barbell
Neutral-grip dumbbell bench press,,Chest,Dumbbell
Cable Chest Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/870/Male/m/870_1.jpg,Chest,Cable
Standing concentration curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23d-standing-concentration-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Wide-Grip Rear Pull-Up,https://www.bodybuilding.com/exercises/exerciseImages/sequences/191/Male/m/191_1.jpg,Lats,Body Only
Kettlebell pass-through lunge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-57k-kettlebell-pass-through-lunge-m1-square-600x600.jpg,Hamstrings,Kettlebells
Hands-elevated push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18e-hands-elevated-push-up-m1-square-600x600.jpg,Chest,Body Only
Deadlift with Bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/677/Male/m/677_1.jpg,Lower Back,Barbell
Straight-arm rope pull-down,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-105c-straight-arm-rope-pull-down-m1-600x600.jpg,Lats,Cable
Barbell Shoulder Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48e-seated-barbell-shoulder-press-m1-square-600x600.jpg,Shoulders,Barbell
Power clean,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25b-power-clean-m1-square-600x600.jpg,Hamstrings,Barbell
Hang Snatch,https://www.bodybuilding.com/exercises/exerciseImages/sequences/690/Male/m/690_1.jpg,Hamstrings,Barbell
Kettlebell sumo deadlift high pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-49k-kettlebell-sumo-deadlift-high-pull-m1-square-600x600.jpg,Traps,Kettlebells
Calf-Machine Shoulder Shrug,https://www.bodybuilding.com/exercises/exerciseImages/sequences/184/Male/m/184_1.jpg,Traps,Machine
Bench Press - Powerlifting,https://www.bodybuilding.com/exercises/exerciseImages/sequences/663/Male/m/663_1.jpg,Triceps,Barbell
Rocking Standing Calf Raise,,Calves,Barbell
Goblet Squat,,Quadriceps,Kettlebells
Behind-the-head skullcrusher,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-56e-behind-the-head-skullcrusher-m1-square-600x600.jpg,Triceps,Barbell
Seated palms-up wrist curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65e-seated-palms-up-wrist-curl-m1-square-600x600.jpg,Forearms,Barbell
Reverse Cable Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/141/Male/m/141_1.jpg,Biceps,Cable
Dumbbell side bend,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-102d-dumbbell-side-bend-m1-square-600x600.jpg,Abdominals,Dumbbell
Lat pull-down,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72c-lat-pull-down-m1-square-600x600.jpg,Lats,Cable
Side Lateral Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-77d-dumbbell-lateral-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Alternating incline dumbbell biceps curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26n-alternating-incline-dumbbell-biceps-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Kettlebell One-Legged Deadlift,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-4k-single-leg-kettlebell-deadlift-m1-square-600x600.jpg,Hamstrings,Kettlebells
Alternate Hammer Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-3d-alternating-hammer-curl-m1-square-600x600.jpg,Biceps,Dumbbell
Decline Push-Up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg,Chest,Body Only
Captain's chair knee raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-5m-captains-chair-knee-raise-m1-square-600x600.jpg,Abdominals,Other
Triceps Pushdown,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-17c-cable-v-bar-push-down-m1-square-600x600.jpg,Triceps,Cable
Low cable overhead triceps extension,,Triceps,Cable
Single-arm cable cross-over,,Chest,Cable
Seated dumbbell biceps curl,,Biceps,Dumbbell
Battle ropes,,Shoulders,Other
Dead bug reach,,Abdominals,Body Only
Deadlift with Chains,,Lower Back,Barbell
Rope Crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-35c-kneeling-cable-crunch-m1-square-600x600.jpg,Abdominals,Cable
Palms-Up Dumbbell Wrist Curl Over A Bench,,Forearms,Dumbbell
Kettlebell thruster,,Glutes,Kettlebells
Single-Arm Push-Up,,Chest,Body Only
Band Hip Adductions,https://www.bodybuilding.com/exercises/exerciseImages/sequences/850/Male/m/850_2.jpg,Adductors,Bands
Single-arm kettlebell clean,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-80k-single-arm-kettlebell-clean-m1-square-600x600.jpg,Hamstrings,Kettlebells
Preacher Hammer Dumbbell Curl,https://www.bodybuilding.com/exercises/exerciseImages/sequences/155/Male/m/155_1.jpg,Biceps,Dumbbell
Alternating Kettlebell Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/504/Male/m/504_1.jpg,Shoulders,Kettlebells
Split Squat with Dumbbells,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61e-dumbbell-bulgarian-split-squat-m1-square-600x600.jpg,Quadriceps,Dumbbell
Standing One-Arm Dumbbell Curl Over Incline Bench,,Biceps,
Standing Olympic Plate Hand Squeeze,,Forearms,Other
Sledgehammer swing,,Abdominals,Other
Kneeling Squat,https://www.bodybuilding.com/exercises/exerciseImages/sequences/697/Male/m/697_1.jpg,Glutes,Barbell
Single-arm kettlebell snatch,,Shoulders,Kettlebells
Close-grip barbell curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20b-close-grip-barbell-curl-m1-square-600x600.jpg,Biceps,Barbell
Box jump,,Hamstrings,Other
Standing cable crunch,,Abdominals,Cable
Leverage Incline Chest Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/893/Male/m/893_1.jpg,Chest,Machine
Standing barbell overhead triceps extension,,Triceps,Barbell
Lying cable triceps extension,,Triceps,Cable
Kettlebell Turkish Get-Up (Squat style),https://www.bodybuilding.com/exercises/exerciseImages/sequences/527/Male/m/527_1.jpg,Shoulders,
Crunch - Hands Overhead,https://www.bodybuilding.com/exercises/exerciseImages/sequences/113/Male/m/113_1.jpg,Abdominals,Body Only
Cable Internal Rotation,https://www.bodybuilding.com/exercises/exerciseImages/sequences/315/Male/m/315_1.jpg,Shoulders,Cable
Leg Extensions,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-18m-leg-extension-m1-square-600x600.jpg,Quadriceps,Machine
Standing One-Arm Dumbbell Curl Over Incline Bench,https://www.bodybuilding.com/exercises/exerciseImages/sequences/339/Male/m/339_1.jpg,Biceps,
Standing Olympic Plate Hand Squeeze,https://www.bodybuilding.com/exercises/exerciseImages/sequences/6/Male/m/6_1.jpg,Forearms,Other
Sledgehammer swing,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-186s-sledghehammer-swing-m1-600x600.jpg,Abdominals,Other
Single-arm kettlebell snatch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-79k-single-arm-kettlebell-snatch-m1-square-600x600.jpg,Shoulders,Kettlebells
Box jump,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-75e-box-jump-m1-square-600x600.jpg,Hamstrings,Other
Standing cable crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-34c-standing-cable-crunch-m1-square-600x600.jpg,Abdominals,Cable
Standing barbell overhead triceps extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-60b-standing-barbell-overhead-triceps-extension-m1-square-600x600.jpg,Triceps,Barbell
Lying cable triceps extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62c-lying-cable-triceps-extension-m1-square-600x600.jpg,Triceps,Cable
Close push-up to wide push-up,,Chest,Body Only
Single-arm dumbbell triceps extension,,Triceps,Dumbbell
Butterfly,,Chest,Machine
Decline dumbbell bench press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-33n-decline-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Dumbbell
V-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-76a-v-up-m1-square-600x600.jpg,Abdominals,Body Only
Seated face pull,,Shoulders,Cable
Barbell Bulgarian split squat,https://www.bodybuilding.com/images/2020/xdb/cropped/2020-xdb-60e-barbell-bulgarian-split-squat-m1-crop-600x600.jpg,Quadriceps,Barbell
Reverse-grip lat pull-down,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-74c-reverse-grip-lat-pull-down-m1-square-600x600.jpg,Lats,Machine
Standing Biceps Cable Curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-22c-cable-straight-bar-biceps-curl-m1-square-600x600.jpg,Biceps,Cable
Single-arm cable seated row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-82c-single-arm-cable-seated-row-m1-square-600x600.jpg,Middle Back,Cable
Single-arm kettlebell row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-12e-single-arm-dumbbell-bench-press-m1-square-600x600.jpg,Chest,Dumbbell
Scissors Jump,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-42a-alternating-lunge-jump-m4-square-600x600.jpg,Quadriceps,Body Only
Wide Stance Stiff Legs,https://www.bodybuilding.com/exercises/exerciseImages/sequences/744/Male/m/744_1.jpg,Hamstrings,Barbell
Rack Pull with Bands,https://www.bodybuilding.com/exercises/exerciseImages/sequences/741/Male/m/741_1.jpg,Lower Back,Barbell
Drag curl,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11b-drag-curl-m1-square-600x600.jpg,Biceps,Barbell
Close push-up to wide push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-105a-close-push-up-to-wide-push-up-m1-square-600x600.jpg,Chest,Body Only
Single-arm dumbbell triceps extension,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-130d-single-arm-dumbbell-triceps-extension-m2-square-600x600.jpg,Triceps,Dumbbell
Butterfly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-53m-machine-chest-fly-m1-square-600x600.jpg,Chest,Machine
Seated face pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-70c-seated-face-pull-m1-square-600x600.jpg,Shoulders,Cable
Rack Pull with Bands,,Lower Back,Barbell
Drag curl,,Biceps,Barbell
Hang Clean - Below the Knees,,Quadriceps,Barbell
Decline oblique crunch,,Abdominals,None
Dumbbell external shoulder rotation,,Shoulders,Dumbbell
Single-arm bent-over cable rear delt fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-48c-single-arm-cable-rear-delt-fly-m1-square-600x600.jpg,Shoulders,Cable
Clean,https://www.bodybuilding.com/exercises/exerciseImages/sequences/669/Male/m/669_1.jpg,Hamstrings,Barbell
Single-arm incline lateral raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-24n-single-arm-incline-lateral-raise-m1-square-600x600.jpg,Shoulders,Dumbbell
Decline bar press sit-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-44n-decline-press-sit-up-m1-square-600x600.jpg,Abdominals,Barbell
Barbell rear delt bent-over row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-03b-barbell-rear-delt-bent-over-row-m1-square-600x600.jpg,Shoulders,Barbell
Calf Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-117s-standing-calf-raise-m1-square-600x600.jpg,Calves,Machine
Kettlebell alternating renegade row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-11k-kettlebell-alternating-renegade-row-m1-square-600x600.jpg,Middle Back,Kettlebells
Bosu Ball Cable Crunch With Side Bends,https://www.bodybuilding.com/exercises/exerciseImages/sequences/932/Male/m/932_1.jpg,Abdominals,Cable
Stomach Vacuum,https://www.bodybuilding.com/exercises/exerciseImages/sequences/243/Male/m/243_1.jpg,Abdominals,Body Only
Hammer Grip Incline DB Bench Press,https://www.bodybuilding.com/exercises/exerciseImages/sequences/60/Male/m/60_1.jpg,Chest,Dumbbell
Wide-grip hands-elevated push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-19e-wide-grip-hands-elevated-push-up-m1-square-600x600.jpg,Chest,Body Only
Decline Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/exerciseImages/sequences/167/Male/m/167_1.jpg,Triceps,Dumbbell
Jumping jack-,,Quadriceps,Body Only
Push-Ups With Feet On An Exercise Ball,,Chest,Body Only
Seated cable shoulder press,,Shoulders,Cable
Barbell hack squat,,Quadriceps,Barbell
Feet-elevated push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-20e-feet-elevated-push-up-m1-square-600x600.jpg,Chest,Body Only
Good Morning,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-09b-barbell-good-morning-m1-square-600x600.jpg,Hamstrings,Barbell
Leverage Chest Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-65m-machine-chest-press-m1-square-600x600.jpg,Chest,Machine
Gironda Sternum Chins,https://www.bodybuilding.com/exercises/exerciseImages/sequences/292/Male/m/292_1.jpg,Lats,Other
Exercise ball crunch,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-23s-exercise-ball-crunch-m1-square-600x600.jpg,Abdominals,Exercise Ball
Seated rear delt fly,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-47e-seated-rear-delt-fly-m1-square-600x600.jpg,Shoulders,Dumbbell
Standing face pull,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-40c-standing-face-pull-m1-square-600x600.jpg,Shoulders,Cable
Glute Ham Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-25m-glute-ham-raise-m1-square-600x600.jpg,Hamstrings,Machine
Russian twist,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-262a-russian-twist-m1-600x600.jpg,Abdominals,Body Only
Seated Flat Bench Leg Pull-In,,Abdominals,Weight Bench
Barbell shrug,,Traps,Barbell
Seated Flat Bench Leg Pull-In,https://www.bodybuilding.com/exercises/exerciseImages/sequences/93/Male/m/93_1.jpg,Abdominals,Weight Bench
Barbell shrug,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-04b-barbell-shrug-m1-square-600x600.jpg,Traps,Barbell
Standing cable rear delt row,,Shoulders,Cable
Flat Bench Lying Leg Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m1-square-600x600.jpg,Abdominals,Body Only
Hack Squat,,Quadriceps,Barbell
Dumbbell skullcrusher,,Triceps,Dumbbell
Man-maker,,Middle Back,Dumbbell
Pallof press,,Abdominals,Other
Knees tucked crunch,,Abdominals,Body Only
Straight-arm dumbbell pull-over,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26e-straight-arm-dumbbell-pull-over-m1-square-600x600.jpg,Chest,Dumbbell
Arms-crossed jump squat,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-43a-arms-crossed-jump-squat-m2-square-600x600.jpg,Quadriceps,Body Only
Decline Smith Press,,Chest,Machine
Band Skull Crusher,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1211/Male/m/1211_1.jpg,Triceps,
Side Wrist Pull,https://www.bodybuilding.com/exercises/exerciseImages/sequences/442/Male/m/442_1.jpg,Shoulders,None
Isometric Wipers,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-122a-typewriter-push-up-m2-square-600x600.jpg,Chest,Body Only
Skating,,Quadriceps,Other
Cable cross-over,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1c-cable-cross-over-m1-square-600x600.jpg,Chest,Cable
Treadmill running,,Quadriceps,Machine
One Arm Pronated Dumbbell Triceps Extension,,Triceps,Dumbbell
Single-arm kettlebell clean and jerk,,Shoulders,Kettlebells
Side To Side Chins,,Lats,Body Only
Incline Dumbbell Bench With Palms Facing In,,Chest,Dumbbell
Seated palms-down wrist curl,,Forearms,Dumbbell
Standing leg swing,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-83s-standing-leg-swing-m1-square-600x600.jpg,Hamstrings,Body Only
Clock push-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-103a-clock-push-up-m1-square-600x600.jpg,Chest,Body Only
Machine seated row,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-91m-machine-seated-row-m1-square-600x600.jpg,Lats,Machine
Lying Face Up Plate Neck Resistance,https://www.bodybuilding.com/exercises/exerciseImages/sequences/26/Male/m/26_1.jpg,Neck,Other
Weighted sissy squat,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-180s-weighted-sissy-squat-m1-600x600.jpg,Quadriceps,Other
Jog In Place,,Quadriceps,
Dumbbell Raise,,Shoulders,Dumbbell
Palms-Down Dumbbell Wrist Curl Over A Bench,,Forearms,Dumbbell
One Arm Supinated Dumbbell Triceps Extension,,Triceps,Dumbbell
Jog In Place,https://www.bodybuilding.com/images/2020/xdb/2963_1.jpg,Quadriceps,
Dumbbell Raise,https://www.bodybuilding.com/exercises/exerciseImages/sequences/327/Male/m/327_1.jpg,Shoulders,Dumbbell
Palms-Down Dumbbell Wrist Curl Over A Bench,https://www.bodybuilding.com/exercises/exerciseImages/sequences/4/Male/m/4_1.jpg,Forearms,Dumbbell
One Arm Supinated Dumbbell Triceps Extension,https://www.bodybuilding.com/exercises/exerciseImages/sequences/362/Male/m/362_1.jpg,Triceps,Dumbbell
Stationary bike,,Quadriceps,Machine
Dumbbell bent-over row,,Middle Back,Dumbbell
Barbell thruster,,Quadriceps,Barbell
Flutter Kicks,,Glutes,Weight Bench
Dumbbell sumo squat,,Quadriceps,Dumbbell
Barbell upright row,,Shoulders,Barbell
Superman,,Lower Back,Body Only
Straight-Arm Pulldown,https://www.bodybuilding.com/images/2020/xdb/cropped/2019-xdb-104c-straight-arm-bar-pull-down-m1-600x600.jpg,Lats,Cable
Barbell stiff-legged deadlift,,Hamstrings,Barbell
Standing One-Arm Dumbbell Triceps Extension,,Triceps,Dumbbells
Smith machine bench press,,Chest,Machine
Seated Side Lateral Raise,,Shoulders,Dumbbell
Dumbbell Lying Rear Lateral Raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-13n-incline-dumbbell-reverse-fly-m1-square-600x600.jpg,Shoulders,Dumbbell
Dumbbell preacher curl,,Biceps,Dumbbell
Front Raise And Pullover,,Chest,Barbell
Dumbbell seated box jump,,Quadriceps,Dumbbell
Middle Back Shrug,,Middle Back,Dumbbell
Incline face-down bar front raise,,Shoulders,E-Z Curl Bar
Butt-Ups,,Abdominals,Body Only
Band Good Morning (Pull Through),,Hamstrings,Bands
Bodyweight Reverse Lunge,,Quadriceps,Body Only
Seated One-Arm Dumbbell Palms-Down Wrist Curl,,Forearms,Dumbbell
Glute Kickback,,Glutes,Body Only
Treadmill jogging,,Quadriceps,Machine
Plate Pinch,,Forearms,Other
Yates Row Reverse Grip,,Middle Back,Barbell
Linear Acceleration Wall Drill,,Hamstrings,Body Only
Reverse-grip bench press,,Triceps,Barbell
Leverage Decline Chest Press,,Chest,Machine
Chain Handle Extension,,Triceps,Other